TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,89,87,88
2023-08-12T00:00:01Z,24.66,61.94,99,0,33.21,101.52,6.00,442.00,null,null,null
2023-08-12T00:01:01Z,24.65,61.96,99,0,29.50,101.51,6.00,442.00,null,null,null
2023-08-12T00:02:01Z,24.64,61.98,99,0,23.15,101.51,7.00,446.00,null,null,null
2023-08-12T00:03:01Z,24.61,62.07,99,0,24.11,101.51,7.00,446.00,0,0,0
2023-08-12T00:04:01Z,24.65,62.33,99,0,24.35,101.51,6.00,442.00,null,null,null
2023-08-12T00:05:01Z,24.64,62.16,99,0,22.05,101.51,6.00,443.00,null,null,null
2023-08-12T00:06:01Z,24.59,62.20,99,0,22.24,101.51,7.00,446.00,null,null,null
2023-08-12T00:07:01Z,24.61,62.18,99,0,26.24,101.51,7.00,448.00,null,null,null
2023-08-12T00:08:01Z,24.62,62.19,99,0,25.87,101.51,7.00,448.00,0,0,0
2023-08-12T00:09:01Z,24.61,62.43,99,0,23.10,101.51,6.00,445.00,null,null,null
2023-08-12T00:10:01Z,24.61,62.28,99,0,23.94,101.51,6.00,442.00,null,null,null
2023-08-12T00:11:01Z,24.59,62.27,99,0,21.41,101.51,6.00,442.00,null,null,null
2023-08-12T00:12:01Z,24.61,62.27,99,0,23.86,101.51,6.00,442.00,null,null,null
2023-08-12T00:13:01Z,24.58,62.27,99,0,23.59,101.52,6.00,442.00,0,0,0
2023-08-12T00:14:01Z,24.58,62.44,99,0,23.81,101.52,6.00,442.00,null,null,null
2023-08-12T00:15:01Z,24.62,62.36,99,0,22.66,101.51,6.00,442.00,null,null,null
2023-08-12T00:16:01Z,24.59,62.32,99,0,23.30,101.51,6.00,441.00,null,null,null
2023-08-12T00:17:01Z,24.56,62.32,99,0,23.94,101.50,6.00,441.00,null,null,null
2023-08-12T00:18:01Z,24.56,62.32,99,0,25.29,101.50,6.00,441.00,0,0,0
2023-08-12T00:19:01Z,24.58,62.48,99,0,22.66,101.50,5.00,435.00,null,null,null
2023-08-12T00:20:01Z,24.56,62.42,99,0,24.83,101.50,5.00,435.00,null,null,null
2023-08-12T00:21:01Z,24.56,62.42,99,0,24.11,101.50,5.00,435.00,null,null,null
2023-08-12T00:22:01Z,24.55,62.36,99,0,27.44,101.50,4.00,428.00,null,null,null
2023-08-12T00:23:01Z,24.54,62.38,99,0,23.54,101.50,6.00,441.00,0,0,0
2023-08-12T00:24:01Z,24.55,62.48,99,0,26.64,101.50,5.00,434.00,null,null,null
2023-08-12T00:25:01Z,24.54,62.43,99,0,27.82,101.49,5.00,434.00,null,null,null
2023-08-12T00:26:01Z,24.55,62.41,99,0,23.94,101.50,5.00,434.00,null,null,null
2023-08-12T00:27:01Z,24.52,62.40,99,0,24.61,101.49,5.00,434.00,null,null,null
2023-08-12T00:28:01Z,24.54,62.40,99,0,24.07,101.49,4.00,427.00,0,0,0
2023-08-12T00:29:01Z,24.54,62.55,99,0,23.63,101.49,4.00,427.00,null,null,null
2023-08-12T00:30:01Z,24.52,62.45,99,0,23.81,101.49,4.00,427.00,null,null,null
2023-08-12T00:31:01Z,24.51,62.46,99,0,25.19,101.49,3.00,425.00,null,null,null
2023-08-12T00:32:01Z,24.51,62.43,99,0,22.78,101.49,3.00,425.00,null,null,null
2023-08-12T00:33:01Z,24.49,62.38,99,0,22.49,101.49,3.00,422.00,0,0,0
2023-08-12T00:34:01Z,24.51,62.59,99,0,23.15,101.49,3.00,425.00,null,null,null
2023-08-12T00:35:01Z,24.52,62.48,99,0,22.66,101.48,3.00,422.00,null,null,null
2023-08-12T00:36:01Z,24.49,62.46,99,0,23.25,101.49,2.00,416.00,null,null,null
2023-08-12T00:37:01Z,24.49,62.49,99,0,24.03,101.49,3.00,422.00,null,null,null
2023-08-12T00:38:01Z,24.48,62.48,99,0,30.07,101.49,3.00,422.00,0,0,0
2023-08-12T00:39:01Z,24.49,62.59,99,0,24.50,101.49,3.00,425.00,null,null,null
2023-08-12T00:40:01Z,24.48,62.53,99,0,22.72,101.49,3.00,422.00,null,null,null
2023-08-12T00:41:01Z,24.48,62.51,99,0,36.87,101.49,2.00,416.00,null,null,null
2023-08-12T00:42:01Z,24.47,62.51,99,0,23.25,101.48,3.00,422.00,null,null,null
2023-08-12T00:43:01Z,24.48,62.52,99,0,23.63,101.48,3.00,422.00,0,0,0
2023-08-12T00:44:01Z,24.49,62.63,99,0,20.85,101.48,1.00,413.00,null,null,null
2023-08-12T00:45:01Z,24.49,62.55,99,0,22.31,101.49,2.00,416.00,null,null,null
2023-08-12T00:46:01Z,24.47,62.50,99,0,25.26,101.48,2.00,416.00,null,null,null
2023-08-12T00:47:01Z,24.47,62.49,99,0,21.78,101.48,2.00,415.00,null,null,null
2023-08-12T00:48:01Z,24.45,62.57,99,0,23.86,101.49,2.00,415.00,0,0,0
2023-08-12T00:49:01Z,24.44,62.63,99,0,21.41,101.48,3.00,421.00,null,null,null
2023-08-12T00:50:01Z,24.41,62.61,99,0,23.59,101.48,2.00,415.00,null,null,null
2023-08-12T00:51:01Z,24.41,62.59,99,0,20.29,101.48,2.00,415.00,null,null,null
2023-08-12T00:52:01Z,24.44,62.54,99,0,24.86,101.48,2.00,415.00,null,null,null
2023-08-12T00:53:01Z,24.41,62.55,99,0,23.94,101.48,2.00,415.00,0,0,0
2023-08-12T00:54:01Z,24.42,62.68,99,0,21.99,101.48,2.00,415.00,null,null,null
2023-08-12T00:55:01Z,24.44,62.59,99,0,23.25,101.48,1.00,409.00,null,null,null
2023-08-12T00:56:01Z,24.42,62.59,99,0,27.04,101.48,1.00,413.00,null,null,null
2023-08-12T00:57:01Z,24.39,62.58,99,0,28.17,101.49,0.00,405.00,null,null,null
2023-08-12T00:58:01Z,24.39,62.59,99,0,32.65,101.48,0.00,405.00,0,0,0
2023-08-12T00:59:01Z,24.38,62.69,99,0,27.51,101.49,1.00,409.00,null,null,null
2023-08-12T01:00:01Z,24.38,62.61,99,0,32.51,101.48,1.00,409.00,null,null,null
2023-08-12T01:01:01Z,24.38,62.63,99,0,31.07,101.48,1.00,409.00,null,null,null
2023-08-12T01:02:01Z,24.38,62.60,99,0,32.28,101.48,1.00,408.00,null,null,null
2023-08-12T01:03:01Z,24.37,62.59,99,0,30.29,101.48,1.00,408.00,0,0,0
2023-08-12T01:04:01Z,24.38,62.73,99,0,27.12,101.47,0.00,403.00,null,null,null
2023-08-12T01:05:01Z,24.37,62.64,99,0,30.13,101.48,0.00,403.00,null,null,null
2023-08-12T01:06:01Z,24.35,62.64,99,0,27.77,101.48,0.00,400.00,null,null,null
2023-08-12T01:07:01Z,24.34,62.60,99,0,28.33,101.48,0.00,400.00,null,null,null
2023-08-12T01:08:01Z,24.35,62.64,99,0,29.04,101.47,0.00,400.00,0,0,0
2023-08-12T01:09:01Z,24.35,62.77,99,0,30.25,101.47,0.00,405.00,null,null,null
2023-08-12T01:10:01Z,24.35,62.65,99,0,25.50,101.47,0.00,400.00,null,null,null
2023-08-12T01:11:01Z,24.32,62.67,99,0,23.98,101.47,1.00,409.00,null,null,null
2023-08-12T01:12:01Z,24.32,62.66,99,0,22.99,101.47,1.00,409.00,null,null,null
2023-08-12T01:13:01Z,24.29,62.64,99,0,25.26,101.47,0.00,405.00,0,0,0
2023-08-12T01:14:01Z,24.34,62.74,99,0,22.83,101.47,0.00,405.00,null,null,null
2023-08-12T01:15:01Z,24.32,62.70,99,0,30.31,101.47,0.00,405.00,null,null,null
2023-08-12T01:16:01Z,24.32,62.70,99,0,24.93,101.47,1.00,409.00,null,null,null
2023-08-12T01:17:01Z,24.31,62.67,99,0,23.20,101.47,0.00,405.00,null,null,null
2023-08-12T01:18:01Z,24.29,62.70,99,0,22.12,101.46,0.00,405.00,0,0,0
2023-08-12T01:19:01Z,24.31,62.76,99,0,23.25,101.46,0.00,401.00,null,null,null
2023-08-12T01:20:01Z,24.31,62.72,99,0,24.89,101.46,0.00,400.00,null,null,null
2023-08-12T01:21:01Z,24.28,62.70,99,0,25.29,101.46,1.00,408.00,null,null,null
2023-08-12T01:22:01Z,24.28,62.71,99,0,23.10,101.46,1.00,408.00,null,null,null
2023-08-12T01:23:01Z,24.29,62.68,99,0,23.90,101.46,1.00,408.00,0,0,0
2023-08-12T01:24:01Z,24.29,62.82,99,0,23.10,101.47,0.00,400.00,null,null,null
2023-08-12T01:25:01Z,24.28,62.72,99,0,20.29,101.46,0.00,400.00,null,null,null
2023-08-12T01:26:01Z,24.28,62.70,99,0,23.15,101.47,0.00,405.00,null,null,null
2023-08-12T01:27:01Z,24.29,62.68,99,0,23.94,101.47,0.00,405.00,null,null,null
2023-08-12T01:28:01Z,24.25,62.66,99,0,23.05,101.47,0.00,405.00,0,0,0
2023-08-12T01:29:01Z,24.28,62.73,99,0,20.29,101.47,0.00,405.00,null,null,null
2023-08-12T01:30:01Z,24.28,62.72,99,0,22.37,101.47,0.00,405.00,null,null,null
2023-08-12T01:31:01Z,24.27,62.68,99,0,23.72,101.46,0.00,405.00,null,null,null
2023-08-12T01:32:01Z,24.25,62.65,99,0,24.15,101.46,0.00,405.00,null,null,null
2023-08-12T01:33:01Z,24.27,62.70,99,0,21.02,101.46,0.00,405.00,0,0,0
2023-08-12T01:34:01Z,24.27,62.75,99,0,24.46,101.46,0.00,400.00,null,null,null
2023-08-12T01:35:01Z,24.24,62.71,99,0,23.63,101.46,0.00,400.00,null,null,null
2023-08-12T01:36:01Z,24.25,62.69,99,0,23.35,101.47,6.00,442.00,null,null,null
2023-08-12T01:37:01Z,24.21,62.72,99,0,25.47,101.47,1.00,409.00,null,null,null
2023-08-12T01:38:01Z,24.23,62.69,99,0,23.25,101.47,7.00,446.00,0,0,0
2023-08-12T01:39:01Z,24.23,62.73,99,0,21.99,101.46,5.00,439.00,null,null,null
2023-08-12T01:40:01Z,24.20,62.70,99,0,24.19,101.46,6.00,442.00,null,null,null
2023-08-12T01:41:01Z,24.17,62.68,99,0,25.35,101.46,6.00,442.00,null,null,null
2023-08-12T01:42:01Z,24.18,62.70,99,0,22.78,101.46,5.00,439.00,null,null,null
2023-08-12T01:43:01Z,24.18,62.69,99,0,26.24,101.46,6.00,442.00,0,0,0
2023-08-12T01:44:01Z,24.18,62.75,99,0,22.61,101.46,6.00,442.00,null,null,null
2023-08-12T01:45:01Z,24.18,62.73,99,0,23.10,101.46,5.00,434.00,null,null,null
2023-08-12T01:46:01Z,24.18,62.73,99,0,23.94,101.46,6.00,442.00,null,null,null
2023-08-12T01:47:01Z,24.18,62.67,99,0,21.92,101.45,5.00,439.00,null,null,null
2023-08-12T01:48:01Z,24.14,62.73,99,0,21.92,101.45,5.00,439.00,0,0,0
2023-08-12T01:49:01Z,24.16,62.76,99,0,21.85,101.45,4.00,432.00,null,null,null
2023-08-12T01:50:01Z,24.17,62.71,99,0,24.50,101.46,3.00,425.00,null,null,null
2023-08-12T01:51:01Z,24.17,62.70,99,0,22.89,101.46,4.00,428.00,null,null,null
2023-08-12T01:52:01Z,24.13,62.68,99,0,22.99,101.45,4.00,428.00,null,null,null
2023-08-12T01:53:01Z,24.14,62.66,99,0,23.35,101.46,5.00,438.00,0,0,0
2023-08-12T01:54:01Z,24.16,62.77,99,0,25.22,101.46,4.00,428.00,null,null,null
2023-08-12T01:55:01Z,24.13,62.72,99,0,22.66,101.45,3.00,424.00,null,null,null
2023-08-12T01:56:01Z,24.14,62.70,99,0,21.41,101.46,4.00,428.00,null,null,null
2023-08-12T01:57:01Z,24.11,62.69,99,0,23.81,101.46,4.00,428.00,null,null,null
2023-08-12T01:58:01Z,24.13,62.73,99,0,21.56,101.46,5.00,438.00,0,0,0
2023-08-12T01:59:01Z,24.11,62.76,99,0,19.77,101.46,3.00,422.00,null,null,null
2023-08-12T02:00:01Z,24.10,62.74,99,0,24.50,101.46,3.00,422.00,null,null,null
2023-08-12T02:01:01Z,24.10,62.70,99,0,24.72,101.46,3.00,426.00,null,null,null
2023-08-12T02:02:01Z,24.09,62.71,99,0,22.55,101.46,3.00,426.00,null,null,null
2023-08-12T02:03:01Z,24.07,62.65,99,0,23.30,101.45,3.00,426.00,0,0,0
2023-08-12T02:04:01Z,24.10,62.75,99,0,28.57,101.45,3.00,422.00,null,null,null
2023-08-12T02:05:01Z,24.10,62.67,99,0,33.26,101.46,3.00,422.00,null,null,null
2023-08-12T02:06:01Z,24.07,62.71,99,0,32.58,101.46,3.00,422.00,null,null,null
2023-08-12T02:07:01Z,24.09,62.68,99,0,33.96,101.45,3.00,422.00,null,null,null
2023-08-12T02:08:01Z,24.06,62.70,99,0,32.04,101.46,3.00,422.00,0,0,0
2023-08-12T02:09:01Z,24.07,62.77,99,0,25.53,101.46,3.00,420.00,null,null,null
2023-08-12T02:10:01Z,24.07,62.74,99,0,34.64,101.45,2.00,415.00,null,null,null
2023-08-12T02:11:01Z,24.06,62.71,99,0,29.05,101.45,3.00,422.00,null,null,null
2023-08-12T02:12:01Z,24.03,62.71,99,0,27.04,101.45,3.00,422.00,null,null,null
2023-08-12T02:13:01Z,24.04,62.71,99,0,32.94,101.45,3.00,422.00,0,0,0
2023-08-12T02:14:01Z,24.06,62.74,99,0,29.22,101.45,3.00,422.00,null,null,null
2023-08-12T02:15:01Z,24.00,62.71,99,0,28.45,101.45,2.00,418.00,null,null,null
2023-08-12T02:16:01Z,24.03,62.72,99,0,29.60,101.45,2.00,418.00,null,null,null
2023-08-12T02:17:01Z,24.00,62.70,99,0,30.48,101.45,3.00,421.00,null,null,null
2023-08-12T02:18:01Z,24.03,62.71,99,0,32.05,101.44,3.00,421.00,0,0,0
2023-08-12T02:19:01Z,24.00,62.78,99,0,21.92,101.45,2.00,418.00,null,null,null
2023-08-12T02:20:01Z,24.01,62.72,99,0,24.19,101.44,2.00,414.00,null,null,null
2023-08-12T02:21:01Z,24.00,62.73,99,0,23.35,101.45,2.00,418.00,null,null,null
2023-08-12T02:22:01Z,24.01,62.70,99,0,25.41,101.44,2.00,416.00,null,null,null
2023-08-12T02:23:01Z,23.99,62.65,99,0,23.81,101.45,2.00,416.00,0,0,0
2023-08-12T02:24:01Z,24.00,62.76,99,0,24.19,101.45,2.00,416.00,null,null,null
2023-08-12T02:25:01Z,23.96,62.71,99,0,24.65,101.44,1.00,411.00,null,null,null
2023-08-12T02:26:01Z,24.00,62.70,99,0,26.50,101.44,1.00,411.00,null,null,null
2023-08-12T02:27:01Z,23.99,62.69,99,0,23.81,101.44,1.00,411.00,null,null,null
2023-08-12T02:28:01Z,23.99,62.73,99,0,32.71,101.44,1.00,411.00,0,0,0
2023-08-12T02:29:01Z,23.99,62.76,99,0,24.43,101.44,2.00,416.00,null,null,null
2023-08-12T02:30:01Z,23.97,62.68,99,0,25.56,101.44,1.00,407.00,null,null,null
2023-08-12T02:31:01Z,23.99,62.71,99,0,24.19,101.44,2.00,415.00,null,null,null
2023-08-12T02:32:01Z,23.99,62.67,99,0,26.36,101.44,2.00,415.00,null,null,null
2023-08-12T02:33:01Z,23.96,62.69,99,0,22.78,101.44,1.00,410.00,0,0,0
2023-08-12T02:34:01Z,23.96,62.76,99,0,24.89,101.44,1.00,407.00,null,null,null
2023-08-12T02:35:01Z,23.94,62.74,99,0,23.77,101.44,0.00,406.00,null,null,null
2023-08-12T02:36:01Z,23.96,62.71,99,0,22.66,101.44,1.00,410.00,null,null,null
2023-08-12T02:37:01Z,23.93,62.75,99,0,22.99,101.44,1.00,410.00,null,null,null
2023-08-12T02:38:01Z,23.94,62.72,99,0,25.09,101.43,1.00,410.00,0,0,0
2023-08-12T02:39:01Z,23.93,62.76,99,0,25.70,101.43,1.00,410.00,null,null,null
2023-08-12T02:40:01Z,23.92,62.68,99,0,22.72,101.43,0.00,406.00,null,null,null
2023-08-12T02:41:01Z,23.93,62.70,99,0,23.49,101.43,1.00,410.00,null,null,null
2023-08-12T02:42:01Z,23.93,62.71,99,0,24.27,101.43,1.00,410.00,null,null,null
2023-08-12T02:43:01Z,23.90,62.70,99,0,24.50,101.44,1.00,410.00,0,0,0
