TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,89,87,88
2023-08-01T13:30:41Z,23.17,55.83,-1,489,49.47,99.81,null,null,0,0,15
2023-08-01T13:31:41Z,23.32,55.65,0,497,44.71,99.81,null,null,null,null,null
2023-08-01T13:32:41Z,23.55,54.46,0,524,47.96,99.80,null,null,null,null,null
2023-08-01T13:33:41Z,23.79,54.98,1,524,45.35,99.80,null,null,null,null,null
2023-08-01T13:34:41Z,23.99,54.35,1,487,52.13,99.81,null,null,null,null,null
2023-08-01T13:35:41Z,24.17,54.21,2,502,47.23,99.81,0.00,400.00,1,1,1
2023-08-01T13:36:41Z,24.35,53.91,2,494,47.37,99.81,6.00,441.00,null,null,null
2023-08-01T13:37:41Z,24.54,53.36,3,500,56.81,99.81,0.00,406.00,null,null,null
2023-08-01T13:38:41Z,24.69,53.41,5,497,41.92,99.81,0.00,403.00,null,null,null
2023-08-01T13:39:41Z,24.82,52.91,6,503,49.65,99.82,1.00,410.00,null,null,null
2023-08-01T13:40:41Z,24.95,52.69,7,588,42.51,99.82,1.00,413.00,1,1,1
2023-08-01T13:41:41Z,25.10,52.28,7,588,48.88,99.83,0.00,400.00,null,null,null
2023-08-01T13:42:41Z,25.20,52.46,8,547,41.60,99.83,2.00,417.00,null,null,null
2023-08-01T13:43:41Z,25.33,52.54,8,543,50.66,99.82,6.00,442.00,null,null,null
2023-08-01T13:44:41Z,25.43,51.75,9,545,56.27,99.82,3.00,421.00,null,null,null
2023-08-01T13:45:41Z,25.51,51.20,10,488,40.28,99.81,2.00,418.00,3,3,3
2023-08-01T13:46:41Z,25.63,51.04,10,493,37.85,99.81,2.00,417.00,null,null,null
2023-08-01T13:47:41Z,25.68,51.15,11,489,33.42,99.82,0.00,400.00,null,null,null
2023-08-01T13:48:41Z,25.80,50.92,11,485,35.92,99.81,3.00,422.00,null,null,null
2023-08-01T13:49:41Z,25.85,50.76,11,482,41.75,99.82,0.00,400.00,null,null,null
2023-08-01T13:50:41Z,25.96,50.61,12,484,41.56,99.81,0.00,406.00,2,2,2
2023-08-01T13:51:41Z,26.01,50.49,12,482,57.85,99.81,0.00,400.00,null,null,null
2023-08-01T13:52:41Z,26.09,50.02,13,518,37.35,99.80,2.00,416.00,null,null,null
2023-08-01T13:53:41Z,26.13,50.33,14,487,41.84,99.81,0.00,400.00,null,null,null
2023-08-01T13:54:41Z,26.19,50.29,14,560,36.15,99.80,2.00,416.00,null,null,null
2023-08-01T13:55:41Z,26.26,50.13,14,489,48.59,99.80,4.00,432.00,3,3,3
2023-08-01T13:56:41Z,26.29,50.13,14,491,43.73,99.80,0.00,400.00,null,null,null
2023-08-01T13:57:41Z,26.39,50.64,15,487,45.99,99.80,3.00,425.00,null,null,null
2023-08-01T13:58:41Z,26.43,49.64,15,569,47.17,99.80,7.00,451.00,null,null,null
2023-08-01T13:59:41Z,26.50,49.28,16,486,49.73,99.81,7.00,447.00,null,null,null
2023-08-01T14:00:41Z,26.54,49.46,17,484,48.82,99.81,3.00,423.00,3,3,3
2023-08-01T14:01:41Z,26.59,48.66,18,493,42.18,99.81,1.00,410.00,null,null,null
2023-08-01T14:02:41Z,26.62,48.90,18,501,45.28,99.81,0.00,405.00,null,null,null
2023-08-01T14:03:41Z,26.59,49.60,18,494,56.11,99.81,2.00,415.00,null,null,null
2023-08-01T14:04:41Z,26.59,49.39,19,541,47.46,99.80,2.00,418.00,null,null,null
2023-08-01T14:05:41Z,26.62,49.59,20,558,36.19,99.81,3.00,426.00,3,5,5
2023-08-01T14:06:41Z,26.63,49.54,20,496,41.00,99.81,7.00,447.00,null,null,null
2023-08-01T14:07:41Z,26.66,49.18,20,506,46.63,99.80,7.00,446.00,null,null,null
2023-08-01T14:08:41Z,26.70,49.46,21,487,44.58,99.80,8.00,459.00,null,null,null
2023-08-01T14:09:41Z,26.73,48.69,22,482,54.47,99.80,3.00,422.00,null,null,null
2023-08-01T14:10:41Z,26.73,48.93,23,482,52.16,99.80,1.00,413.00,2,2,2
2023-08-01T14:11:41Z,26.76,48.86,23,493,44.68,99.80,0.00,400.00,null,null,null
2023-08-01T14:12:41Z,26.76,49.13,24,480,59.43,99.80,0.00,400.00,null,null,null
2023-08-01T14:13:41Z,26.74,49.34,25,482,50.92,99.81,2.00,416.00,null,null,null
2023-08-01T14:14:41Z,26.77,49.48,25,487,44.81,99.80,3.00,426.00,null,null,null
2023-08-01T14:15:41Z,26.81,49.49,26,560,46.29,99.80,5.00,434.00,4,4,4
2023-08-01T14:16:41Z,26.86,49.61,26,565,48.95,99.81,6.00,442.00,null,null,null
2023-08-01T14:17:41Z,26.91,48.84,29,562,52.84,99.80,7.00,446.00,null,null,null
2023-08-01T14:18:41Z,26.95,49.10,29,561,50.69,99.81,2.00,416.00,null,null,null
2023-08-01T14:19:41Z,26.98,48.92,30,555,47.95,99.80,2.00,416.00,null,null,null
2023-08-01T14:20:41Z,26.98,49.04,30,552,45.85,99.81,5.00,439.00,3,3,3
2023-08-01T14:21:41Z,27.01,48.88,32,502,43.78,99.80,7.00,446.00,null,null,null
2023-08-01T14:22:41Z,27.04,48.91,32,483,38.47,99.80,3.00,425.00,null,null,null
2023-08-01T14:23:41Z,27.07,49.07,33,485,51.65,99.80,6.00,445.00,null,null,null
2023-08-01T14:24:41Z,27.12,49.15,33,532,43.57,99.80,9.00,464.00,null,null,null
2023-08-01T14:25:41Z,27.15,48.33,35,500,40.60,99.79,5.00,438.00,5,5,5
2023-08-01T14:26:41Z,27.18,48.46,36,533,51.42,99.78,7.00,451.00,null,null,null
2023-08-01T14:27:41Z,27.22,48.84,36,500,49.02,99.79,6.00,444.00,null,null,null
2023-08-01T14:28:41Z,27.25,48.49,37,480,72.83,99.78,9.00,464.00,null,null,null
2023-08-01T14:29:41Z,27.23,48.50,39,480,40.57,99.78,5.00,434.00,null,null,null
2023-08-01T14:30:41Z,27.28,48.16,39,477,66.58,99.77,6.00,442.00,3,3,3
2023-08-01T14:31:41Z,27.31,48.30,40,486,42.27,99.77,1.00,409.00,null,null,null
2023-08-01T14:32:41Z,27.34,47.74,41,474,46.21,99.77,0.00,400.00,null,null,null
2023-08-01T14:33:41Z,27.31,48.03,42,474,52.02,99.76,2.00,414.00,null,null,null
2023-08-01T14:34:41Z,27.34,47.53,43,475,57.97,99.76,0.00,400.00,null,null,null
2023-08-01T14:35:41Z,27.34,47.70,43,483,42.20,99.76,0.00,401.00,2,2,2
2023-08-01T14:36:41Z,27.34,47.99,45,518,40.47,99.76,3.00,426.00,null,null,null
2023-08-01T14:37:41Z,27.35,48.55,45,550,47.18,99.76,6.00,444.00,null,null,null
2023-08-01T14:38:41Z,27.37,48.33,46,473,42.21,99.76,5.00,436.00,null,null,null
2023-08-01T14:39:41Z,27.38,48.58,48,468,50.88,99.75,5.00,436.00,null,null,null
2023-08-01T14:40:41Z,27.42,48.33,48,468,45.45,99.76,4.00,432.00,2,7,7
2023-08-01T14:41:41Z,27.45,48.22,49,469,45.33,99.75,5.00,439.00,null,null,null
2023-08-01T14:42:41Z,27.38,47.90,51,469,53.95,99.75,0.00,400.00,null,null,null
2023-08-01T14:43:41Z,27.29,47.86,52,473,45.76,99.74,0.00,400.00,null,null,null
2023-08-01T14:44:41Z,27.15,47.25,53,479,47.66,99.74,0.00,400.00,null,null,null
2023-08-01T14:45:41Z,27.04,47.73,53,536,49.65,99.74,0.00,405.00,2,2,2
2023-08-01T14:46:41Z,26.94,47.31,54,485,43.28,99.74,0.00,400.00,null,null,null
2023-08-01T14:47:41Z,26.88,47.85,55,537,43.87,99.75,0.00,400.00,null,null,null
2023-08-01T14:48:41Z,26.84,48.09,56,546,53.22,99.74,8.00,455.00,null,null,null
2023-08-01T14:49:41Z,26.84,48.14,57,479,42.98,99.74,14.00,496.00,null,null,null
2023-08-01T14:50:41Z,26.84,48.12,58,476,51.87,99.74,19.00,529.00,3,3,3
2023-08-01T14:51:41Z,26.86,48.50,59,492,56.17,99.74,14.00,496.00,null,null,null
2023-08-01T14:52:41Z,26.88,48.16,61,536,42.40,99.74,19.00,527.00,null,null,null
2023-08-01T14:53:41Z,26.94,47.48,61,504,60.75,99.74,20.00,533.00,null,null,null
2023-08-01T14:54:41Z,26.90,47.71,63,503,38.94,99.74,19.00,530.00,null,null,null
2023-08-01T14:55:41Z,26.91,47.96,63,475,49.12,99.74,21.00,540.00,1,1,1
2023-08-01T14:56:41Z,26.91,48.21,64,474,59.59,99.73,18.00,523.00,null,null,null
2023-08-01T14:57:41Z,26.92,48.17,64,539,61.67,99.74,21.00,539.00,null,null,null
2023-08-01T14:58:41Z,26.92,48.17,66,485,50.24,99.74,23.00,551.00,null,null,null
2023-08-01T14:59:41Z,26.94,48.24,67,536,49.78,99.73,24.00,564.00,null,null,null
2023-08-01T15:00:41Z,26.94,48.21,68,539,43.65,99.73,24.00,564.00,4,4,4
2023-08-01T15:01:41Z,26.94,47.88,68,536,47.45,99.73,24.00,564.00,null,null,null
2023-08-01T15:02:41Z,26.95,47.84,69,536,45.69,99.73,22.00,549.00,null,null,null
2023-08-01T15:03:41Z,26.95,48.16,70,539,42.70,99.73,23.00,553.00,null,null,null
2023-08-01T15:04:41Z,26.95,48.14,70,541,49.56,99.72,23.00,551.00,null,null,null
2023-08-01T15:05:41Z,26.97,48.06,71,541,45.02,99.72,28.00,586.00,4,4,4
2023-08-01T15:06:41Z,26.98,47.99,72,539,58.51,99.73,26.00,572.00,null,null,null
2023-08-01T15:07:41Z,26.94,47.67,73,539,41.14,99.73,25.00,566.00,null,null,null
2023-08-01T15:08:41Z,26.94,47.65,74,538,43.51,99.73,25.00,567.00,null,null,null
2023-08-01T15:09:41Z,26.92,47.89,74,537,49.74,99.73,24.00,560.00,null,null,null
2023-08-01T15:10:41Z,26.90,48.08,75,534,40.45,99.73,24.00,560.00,2,2,2
2023-08-01T15:11:41Z,26.92,47.92,76,534,40.58,99.72,24.00,560.00,null,null,null
2023-08-01T15:12:41Z,26.92,47.93,76,535,45.71,99.73,23.00,551.00,null,null,null
2023-08-01T15:13:41Z,26.90,47.32,77,534,42.91,99.72,21.00,540.00,null,null,null
2023-08-01T15:14:41Z,26.88,47.42,78,535,48.19,99.74,21.00,542.00,null,null,null
2023-08-01T15:15:41Z,26.88,47.71,79,480,47.25,99.72,21.00,540.00,0,0,0
2023-08-01T15:16:41Z,26.87,47.72,80,486,47.81,99.74,20.00,534.00,null,null,null
2023-08-01T15:17:41Z,26.90,47.86,80,532,46.30,99.73,19.00,530.00,null,null,null
2023-08-01T15:18:41Z,26.87,47.60,81,494,51.31,99.74,18.00,523.00,null,null,null
2023-08-01T15:19:41Z,26.83,47.39,82,527,49.98,99.73,20.00,534.00,null,null,null
2023-08-01T15:20:41Z,26.83,47.29,82,479,39.64,99.73,19.00,531.00,2,2,2
2023-08-01T15:21:41Z,26.83,47.43,83,530,49.08,99.72,18.00,520.00,null,null,null
2023-08-01T15:22:41Z,26.84,47.25,84,483,44.56,99.73,20.00,537.00,null,null,null
2023-08-01T15:23:41Z,26.81,47.29,84,518,39.51,99.73,20.00,537.00,null,null,null
2023-08-01T15:24:41Z,26.80,47.56,85,502,48.06,99.73,18.00,520.00,null,null,null
2023-08-01T15:25:41Z,26.77,47.46,86,528,42.89,99.73,18.00,520.00,5,5,5
2023-08-01T15:26:41Z,26.77,47.38,86,505,38.98,99.72,15.00,502.00,null,null,null
2023-08-01T15:27:41Z,26.77,47.24,87,507,48.43,99.71,17.00,514.00,null,null,null
2023-08-01T15:28:41Z,26.77,47.21,87,491,44.28,99.71,19.00,526.00,null,null,null
2023-08-01T15:29:41Z,26.73,47.18,88,504,50.97,99.71,18.00,519.00,null,null,null
2023-08-01T15:30:41Z,26.71,47.53,89,527,41.68,99.71,20.00,536.00,0,0,0
2023-08-01T15:31:41Z,26.71,47.98,89,520,47.68,99.71,22.00,546.00,null,null,null
2023-08-01T15:32:41Z,26.73,48.80,90,513,41.61,99.71,23.00,552.00,null,null,null
2023-08-01T15:33:41Z,26.70,49.14,91,480,48.91,99.71,20.00,533.00,null,null,null
2023-08-01T15:34:41Z,26.71,49.42,91,481,43.88,99.71,20.00,533.00,null,null,null
2023-08-01T15:35:41Z,26.67,49.53,92,481,45.17,99.72,22.00,549.00,1,1,1
2023-08-01T15:36:41Z,26.73,49.52,92,479,47.18,99.73,22.00,549.00,null,null,null
2023-08-01T15:37:41Z,26.73,49.52,93,478,44.91,99.72,26.00,572.00,null,null,null
2023-08-01T15:38:41Z,26.74,49.38,93,479,49.72,99.73,26.00,572.00,null,null,null
2023-08-01T15:39:41Z,26.70,48.51,94,472,48.64,99.72,26.00,572.00,null,null,null
2023-08-01T15:40:41Z,26.73,48.86,94,478,48.95,99.73,27.00,578.00,5,6,6
2023-08-01T15:41:41Z,26.71,48.59,95,486,57.12,99.72,24.00,560.00,null,null,null
2023-08-01T15:42:41Z,26.71,48.33,95,480,46.30,99.72,24.00,560.00,null,null,null
2023-08-01T15:43:41Z,26.66,48.64,95,490,41.38,99.71,24.00,560.00,null,null,null
2023-08-01T15:44:41Z,26.60,48.76,96,485,39.52,99.71,22.00,548.00,null,null,null
2023-08-01T15:45:41Z,26.54,48.70,96,517,42.02,99.72,19.00,529.00,0,0,0
2023-08-01T15:46:41Z,26.50,48.57,96,497,43.03,99.71,19.00,529.00,null,null,null
2023-08-01T15:47:41Z,26.46,49.57,96,519,46.33,99.72,22.00,548.00,null,null,null
2023-08-01T15:48:41Z,26.40,50.19,96,484,47.35,99.71,22.00,548.00,null,null,null
2023-08-01T15:49:41Z,26.33,50.34,96,479,50.48,99.72,22.00,548.00,null,null,null
2023-08-01T15:50:41Z,26.31,50.29,96,476,41.61,99.71,25.00,566.00,0,0,0
2023-08-01T15:51:41Z,26.26,50.36,96,477,45.74,99.71,23.00,552.00,null,null,null
2023-08-01T15:52:41Z,26.22,50.28,96,479,48.80,99.70,24.00,560.00,null,null,null
2023-08-01T15:53:41Z,26.16,50.47,96,501,37.85,99.71,30.00,597.00,null,null,null
2023-08-01T15:54:41Z,26.12,50.02,96,516,40.94,99.70,32.00,611.00,null,null,null
2023-08-01T15:55:41Z,26.02,49.74,96,490,38.71,99.70,33.00,623.00,3,3,3
2023-08-01T15:56:41Z,26.01,49.84,96,488,41.41,99.69,28.00,584.00,null,null,null
2023-08-01T15:57:41Z,25.95,49.81,96,480,40.04,99.69,26.00,575.00,null,null,null
2023-08-01T15:58:41Z,25.85,50.07,95,486,41.08,99.69,25.00,565.00,null,null,null
2023-08-01T15:59:41Z,25.77,51.18,96,502,41.28,99.69,25.00,569.00,null,null,null
2023-08-01T16:00:41Z,25.67,51.70,95,477,37.15,99.69,23.00,553.00,4,7,7
2023-08-01T16:01:41Z,25.63,51.93,95,476,38.30,99.70,29.00,594.00,null,null,null
2023-08-01T16:02:41Z,25.57,51.96,99,487,52.48,99.70,29.00,594.00,null,null,null
2023-08-01T16:03:41Z,25.50,52.05,99,482,42.57,99.70,31.00,607.00,null,null,null
2023-08-01T16:04:41Z,25.40,52.23,99,478,55.11,99.69,32.00,614.00,null,null,null
2023-08-01T16:05:41Z,25.31,51.86,99,501,36.45,99.69,35.00,634.00,1,2,2
2023-08-01T16:06:41Z,25.23,51.66,99,508,42.74,99.69,30.00,599.00,null,null,null
2023-08-01T16:07:41Z,25.09,51.69,99,504,46.27,99.68,34.00,629.00,null,null,null
2023-08-01T16:08:41Z,25.02,51.69,99,505,47.57,99.68,31.00,607.00,null,null,null
2023-08-01T16:09:41Z,24.93,52.04,99,497,45.79,99.69,33.00,623.00,null,null,null
2023-08-01T16:10:41Z,24.82,52.38,99,496,40.72,99.69,32.00,615.00,0,0,0
2023-08-01T16:11:41Z,24.72,52.22,99,475,44.72,99.69,30.00,597.00,null,null,null
2023-08-01T16:12:41Z,24.64,52.90,99,474,47.75,99.68,33.00,623.00,null,null,null
2023-08-01T16:13:41Z,24.54,53.75,99,474,45.54,99.68,33.00,623.00,null,null,null
