TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,89,87,88
2023-09-16T00:00:05Z,24.05,61.40,99,0,21.49,100.64,11.00,477.00,7,7,7
2023-09-16T00:01:05Z,24.06,61.44,100,0,24.19,100.64,11.00,477.00,null,null,null
2023-09-16T00:02:05Z,24.05,61.38,99,0,23.49,100.64,11.00,477.00,null,null,null
2023-09-16T00:03:05Z,24.06,61.38,100,0,30.17,100.63,11.00,477.00,null,null,null
2023-09-16T00:04:05Z,24.05,61.43,99,0,23.15,100.64,10.00,472.00,null,null,null
2023-09-16T00:05:05Z,24.03,61.40,99,0,25.09,100.64,11.00,477.00,4,5,5
2023-09-16T00:06:05Z,24.08,61.41,99,0,22.72,100.64,10.00,472.00,null,null,null
2023-09-16T00:07:05Z,24.08,61.37,100,0,21.64,100.64,10.00,472.00,null,null,null
2023-09-16T00:08:05Z,24.03,61.37,99,0,23.20,100.64,11.00,477.00,null,null,null
2023-09-16T00:09:05Z,24.05,61.37,99,0,24.83,100.64,11.00,477.00,null,null,null
2023-09-16T00:10:05Z,24.05,61.40,99,0,26.34,100.64,11.00,477.00,8,8,8
2023-09-16T00:11:05Z,24.05,61.41,99,0,24.96,100.64,10.00,472.00,null,null,null
2023-09-16T00:12:05Z,24.03,61.38,99,0,25.65,100.63,11.00,477.00,null,null,null
2023-09-16T00:13:05Z,24.05,61.40,99,0,24.72,100.64,10.00,472.00,null,null,null
2023-09-16T00:14:05Z,24.05,61.43,99,0,25.03,100.64,10.00,472.00,null,null,null
2023-09-16T00:15:05Z,24.03,61.44,99,0,24.65,100.64,10.00,472.00,6,8,8
2023-09-16T00:16:05Z,24.05,61.43,99,0,23.68,100.63,11.00,477.00,null,null,null
2023-09-16T00:17:05Z,24.03,61.42,99,0,24.83,100.63,10.00,472.00,null,null,null
2023-09-16T00:18:05Z,24.05,61.40,99,0,24.03,100.64,11.00,477.00,null,null,null
2023-09-16T00:19:05Z,24.02,61.37,100,0,24.11,100.63,10.00,472.00,null,null,null
2023-09-16T00:20:05Z,24.02,61.42,99,0,24.27,100.63,11.00,477.00,4,8,8
2023-09-16T00:21:05Z,24.03,61.42,100,0,22.72,100.63,10.00,472.00,null,null,null
2023-09-16T00:22:05Z,24.03,61.42,99,0,25.53,100.63,11.00,477.00,null,null,null
2023-09-16T00:23:05Z,24.05,61.42,99,0,25.09,100.63,11.00,477.00,null,null,null
2023-09-16T00:24:05Z,24.03,61.42,100,0,22.72,100.63,11.00,477.00,null,null,null
2023-09-16T00:25:05Z,24.02,61.44,99,0,21.99,100.63,10.00,472.00,5,5,5
2023-09-16T00:26:05Z,24.03,61.44,99,0,24.72,100.63,11.00,477.00,null,null,null
2023-09-16T00:27:05Z,24.03,61.44,99,0,24.58,100.63,11.00,477.00,null,null,null
2023-09-16T00:28:05Z,24.03,61.48,100,0,25.87,100.62,11.00,477.00,null,null,null
2023-09-16T00:29:05Z,24.03,61.47,99,0,24.46,100.63,10.00,472.00,null,null,null
2023-09-16T00:30:05Z,24.02,61.45,99,0,24.03,100.63,11.00,477.00,8,8,8
2023-09-16T00:31:05Z,24.03,61.47,99,0,23.81,100.62,11.00,477.00,null,null,null
2023-09-16T00:32:05Z,24.05,61.44,99,0,22.37,100.62,10.00,472.00,null,null,null
2023-09-16T00:33:05Z,24.03,61.44,99,0,22.37,100.62,11.00,477.00,null,null,null
2023-09-16T00:34:05Z,24.00,61.48,99,0,29.91,100.62,11.00,477.00,null,null,null
2023-09-16T00:35:05Z,24.03,61.48,99,0,26.31,100.62,11.00,477.00,7,10,10
2023-09-16T00:36:05Z,24.03,61.48,99,0,24.03,100.62,12.00,481.00,null,null,null
2023-09-16T00:37:05Z,24.02,61.49,99,0,23.59,100.62,11.00,477.00,null,null,null
2023-09-16T00:38:05Z,24.03,61.49,99,0,22.31,100.62,12.00,481.00,null,null,null
2023-09-16T00:39:05Z,24.02,61.47,99,0,23.35,100.62,12.00,481.00,null,null,null
2023-09-16T00:40:05Z,24.00,61.50,99,0,25.38,100.61,11.00,477.00,7,9,9
2023-09-16T00:41:05Z,24.03,61.52,99,0,24.11,100.61,12.00,481.00,null,null,null
2023-09-16T00:42:05Z,24.00,61.50,99,0,23.49,100.62,12.00,481.00,null,null,null
2023-09-16T00:43:05Z,24.00,61.48,99,0,26.97,100.62,12.00,481.00,null,null,null
2023-09-16T00:44:05Z,24.03,61.53,99,0,24.11,100.62,12.00,481.00,null,null,null
2023-09-16T00:45:05Z,24.00,61.52,99,0,23.35,100.62,12.00,481.00,9,9,9
2023-09-16T00:46:05Z,24.00,61.50,99,0,24.76,100.62,12.00,483.00,null,null,null
2023-09-16T00:47:05Z,24.00,61.53,99,0,23.81,100.62,12.00,483.00,null,null,null
2023-09-16T00:48:05Z,24.02,61.51,100,0,24.54,100.62,12.00,481.00,null,null,null
2023-09-16T00:49:05Z,24.00,61.56,99,0,22.37,100.61,12.00,481.00,null,null,null
2023-09-16T00:50:05Z,23.99,61.54,99,0,22.12,100.62,12.00,481.00,6,7,7
2023-09-16T00:51:05Z,23.99,61.53,99,0,21.99,100.62,12.00,483.00,null,null,null
2023-09-16T00:52:05Z,24.00,61.51,99,0,26.24,100.61,12.00,483.00,null,null,null
2023-09-16T00:53:05Z,24.00,61.50,99,0,23.81,100.61,12.00,483.00,null,null,null
2023-09-16T00:54:05Z,23.98,61.56,100,0,22.05,100.61,12.00,483.00,null,null,null
2023-09-16T00:55:05Z,23.98,61.54,99,0,24.76,100.61,12.00,483.00,10,13,13
2023-09-16T00:56:05Z,24.02,61.56,99,0,21.99,100.61,12.00,483.00,null,null,null
2023-09-16T00:57:05Z,24.00,61.56,99,0,25.06,100.61,12.00,483.00,null,null,null
2023-09-16T00:58:05Z,23.98,61.59,99,0,24.03,100.61,12.00,483.00,null,null,null
2023-09-16T00:59:05Z,24.00,61.54,99,0,22.18,100.61,13.00,488.00,null,null,null
2023-09-16T01:00:05Z,23.98,61.54,99,0,23.94,100.61,12.00,483.00,6,10,10
2023-09-16T01:01:05Z,23.98,61.56,99,0,28.67,100.61,12.00,483.00,null,null,null
2023-09-16T01:02:05Z,24.00,61.55,99,0,25.35,100.61,12.00,483.00,null,null,null
2023-09-16T01:03:05Z,24.00,61.56,99,0,23.72,100.61,12.00,483.00,null,null,null
2023-09-16T01:04:05Z,23.98,61.56,99,0,23.59,100.61,12.00,483.00,null,null,null
2023-09-16T01:05:05Z,23.98,61.56,99,0,23.98,100.61,13.00,488.00,7,7,7
2023-09-16T01:06:05Z,24.00,61.59,99,0,22.37,100.61,13.00,488.00,null,null,null
2023-09-16T01:07:05Z,23.99,61.56,99,0,22.55,100.61,13.00,488.00,null,null,null
2023-09-16T01:08:05Z,24.00,61.58,99,0,21.92,100.61,13.00,488.00,null,null,null
2023-09-16T01:09:05Z,24.00,61.58,99,0,23.40,100.61,13.00,488.00,null,null,null
2023-09-16T01:10:05Z,23.94,61.61,99,0,25.03,100.61,13.00,488.00,7,10,10
2023-09-16T01:11:05Z,23.96,61.60,99,0,25.73,100.61,13.00,488.00,null,null,null
2023-09-16T01:12:05Z,23.99,61.56,99,0,22.18,100.62,13.00,488.00,null,null,null
2023-09-16T01:13:05Z,24.00,61.57,100,0,21.18,100.61,13.00,488.00,null,null,null
2023-09-16T01:14:05Z,23.98,61.60,99,0,25.90,100.62,13.00,488.00,null,null,null
2023-09-16T01:15:05Z,23.94,61.58,99,0,24.43,100.62,13.00,488.00,11,13,13
2023-09-16T01:16:05Z,23.96,61.64,99,0,22.78,100.62,13.00,488.00,null,null,null
2023-09-16T01:17:05Z,23.98,61.63,99,0,21.99,100.62,13.00,488.00,null,null,null
2023-09-16T01:18:05Z,23.94,61.61,99,0,22.61,100.62,13.00,488.00,null,null,null
2023-09-16T01:19:05Z,23.98,61.57,99,0,27.94,100.62,13.00,488.00,null,null,null
2023-09-16T01:20:05Z,23.98,61.62,99,0,26.95,100.61,14.00,495.00,5,9,9
2023-09-16T01:21:05Z,23.98,61.65,99,0,23.54,100.61,13.00,488.00,null,null,null
2023-09-16T01:22:05Z,23.96,61.64,99,0,22.31,100.61,14.00,495.00,null,null,null
2023-09-16T01:23:05Z,23.98,61.61,99,0,23.94,100.62,13.00,488.00,null,null,null
2023-09-16T01:24:05Z,23.99,61.66,99,0,23.90,100.62,14.00,495.00,null,null,null
2023-09-16T01:25:05Z,23.96,61.66,99,0,22.24,100.62,13.00,488.00,6,13,13
2023-09-16T01:26:05Z,23.96,61.62,99,0,23.05,100.61,14.00,495.00,null,null,null
2023-09-16T01:27:05Z,23.98,61.64,99,0,22.99,100.61,14.00,495.00,null,null,null
2023-09-16T01:28:05Z,23.96,61.61,99,0,24.76,100.61,14.00,495.00,null,null,null
2023-09-16T01:29:05Z,23.93,61.66,99,0,25.56,100.61,13.00,488.00,null,null,null
2023-09-16T01:30:05Z,23.93,61.67,99,0,23.59,100.61,13.00,488.00,6,10,10
2023-09-16T01:31:05Z,23.96,61.64,99,0,21.99,100.61,14.00,495.00,null,null,null
2023-09-16T01:32:05Z,23.94,61.65,99,0,25.32,100.60,14.00,495.00,null,null,null
2023-09-16T01:33:05Z,23.96,61.62,99,0,25.38,100.60,14.00,495.00,null,null,null
2023-09-16T01:34:05Z,23.96,61.61,99,0,23.72,100.60,14.00,495.00,null,null,null
2023-09-16T01:35:05Z,23.93,61.65,99,0,25.13,100.60,14.00,495.00,8,8,8
2023-09-16T01:36:05Z,23.96,61.65,99,0,25.41,100.60,14.00,495.00,null,null,null
2023-09-16T01:37:05Z,23.94,61.66,99,0,23.20,100.60,14.00,495.00,null,null,null
2023-09-16T01:38:05Z,23.93,61.66,99,0,24.27,100.60,14.00,495.00,null,null,null
2023-09-16T01:39:05Z,23.94,61.68,99,0,24.86,100.60,14.00,495.00,null,null,null
2023-09-16T01:40:05Z,23.96,61.63,99,0,23.05,100.60,13.00,488.00,8,8,8
2023-09-16T01:41:05Z,23.94,61.65,99,0,26.19,100.60,14.00,495.00,null,null,null
2023-09-16T01:42:05Z,23.93,61.64,99,0,26.14,100.60,14.00,495.00,null,null,null
2023-09-16T01:43:05Z,23.93,61.62,99,0,21.71,100.59,14.00,495.00,null,null,null
2023-09-16T01:44:05Z,23.92,61.68,99,0,24.58,100.60,14.00,495.00,null,null,null
2023-09-16T01:45:05Z,23.93,61.67,99,0,24.11,100.59,13.00,488.00,5,6,6
2023-09-16T01:46:05Z,23.94,61.72,99,0,23.20,100.59,14.00,495.00,null,null,null
2023-09-16T01:47:05Z,23.94,61.66,99,0,24.68,100.59,14.00,495.00,null,null,null
2023-09-16T01:48:05Z,23.92,61.66,99,0,23.45,100.59,13.00,488.00,null,null,null
2023-09-16T01:49:05Z,23.96,61.67,99,0,23.05,100.59,14.00,495.00,null,null,null
2023-09-16T01:50:05Z,23.92,61.68,99,0,23.15,100.59,13.00,488.00,6,10,10
2023-09-16T01:51:05Z,23.93,61.66,99,0,22.72,100.59,14.00,495.00,null,null,null
2023-09-16T01:52:05Z,23.96,61.65,99,0,27.71,100.59,14.00,495.00,null,null,null
2023-09-16T01:53:05Z,23.93,61.69,99,0,25.62,100.59,13.00,488.00,null,null,null
2023-09-16T01:54:05Z,23.92,61.66,99,0,23.35,100.59,14.00,495.00,null,null,null
2023-09-16T01:55:05Z,23.93,61.68,99,0,21.02,100.60,14.00,495.00,9,10,10
2023-09-16T01:56:05Z,23.92,61.69,99,0,22.55,100.59,14.00,495.00,null,null,null
2023-09-16T01:57:05Z,23.93,61.69,99,0,21.71,100.60,13.00,488.00,null,null,null
2023-09-16T01:58:05Z,23.94,61.71,99,0,25.50,100.60,14.00,495.00,null,null,null
2023-09-16T01:59:05Z,23.93,61.71,99,0,23.05,100.59,13.00,488.00,null,null,null
2023-09-16T02:00:05Z,23.93,61.72,99,0,27.59,100.60,13.00,488.00,5,9,9
2023-09-16T02:01:05Z,23.90,61.71,99,0,24.31,100.60,14.00,495.00,null,null,null
2023-09-16T02:02:05Z,23.92,61.66,100,0,23.40,100.59,14.00,495.00,null,null,null
2023-09-16T02:03:05Z,23.93,61.70,99,0,23.45,100.60,13.00,488.00,null,null,null
2023-09-16T02:04:05Z,23.93,61.73,99,0,25.59,100.60,13.00,488.00,null,null,null
2023-09-16T02:05:05Z,23.90,61.70,99,0,22.49,100.60,13.00,488.00,6,9,9
2023-09-16T02:06:05Z,23.90,61.74,99,0,20.39,100.60,13.00,488.00,null,null,null
2023-09-16T02:07:05Z,23.92,61.73,99,0,22.24,100.60,13.00,488.00,null,null,null
2023-09-16T02:08:05Z,23.90,61.72,99,0,22.99,100.60,13.00,488.00,null,null,null
2023-09-16T02:09:05Z,23.92,61.77,99,0,22.99,100.60,13.00,488.00,null,null,null
2023-09-16T02:10:05Z,23.90,61.77,99,0,25.47,100.60,13.00,491.00,9,10,10
2023-09-16T02:11:05Z,23.90,61.78,99,0,22.89,100.61,12.00,485.00,null,null,null
2023-09-16T02:12:05Z,23.90,61.72,99,0,25.35,100.61,12.00,485.00,null,null,null
2023-09-16T02:13:05Z,23.92,61.72,99,0,22.89,100.60,13.00,488.00,null,null,null
2023-09-16T02:14:05Z,23.90,61.75,99,0,25.13,100.61,13.00,488.00,null,null,null
2023-09-16T02:15:05Z,23.92,61.78,100,0,22.49,100.61,12.00,485.00,6,6,6
2023-09-16T02:16:05Z,23.92,61.78,99,0,22.05,100.61,12.00,485.00,null,null,null
2023-09-16T02:17:05Z,23.92,61.70,99,0,26.67,100.60,12.00,485.00,null,null,null
2023-09-16T02:18:05Z,23.92,61.75,99,0,24.68,100.61,13.00,488.00,null,null,null
2023-09-16T02:19:05Z,23.89,61.75,99,0,22.43,100.61,12.00,485.00,null,null,null
2023-09-16T02:20:05Z,23.90,61.77,99,0,25.65,100.60,12.00,485.00,5,7,7
2023-09-16T02:21:05Z,23.89,61.74,99,0,23.45,100.61,12.00,485.00,null,null,null
2023-09-16T02:22:05Z,23.92,61.75,99,0,23.20,100.61,13.00,488.00,null,null,null
2023-09-16T02:23:05Z,23.89,61.80,99,0,20.58,100.61,12.00,485.00,null,null,null
2023-09-16T02:24:05Z,23.92,61.78,99,0,24.23,100.61,12.00,485.00,null,null,null
2023-09-16T02:25:05Z,23.89,61.83,99,0,33.02,100.61,12.00,485.00,6,13,13
2023-09-16T02:26:05Z,23.89,61.78,99,0,24.68,100.60,12.00,485.00,null,null,null
2023-09-16T02:27:05Z,23.92,61.78,99,0,21.78,100.61,12.00,485.00,null,null,null
2023-09-16T02:28:05Z,23.90,61.78,99,0,23.63,100.60,12.00,485.00,null,null,null
2023-09-16T02:29:05Z,23.89,61.80,99,0,22.05,100.61,12.00,485.00,null,null,null
2023-09-16T02:30:05Z,23.88,61.83,99,0,22.49,100.61,12.00,485.00,9,12,12
2023-09-16T02:31:05Z,23.89,61.79,99,0,23.05,100.61,12.00,485.00,null,null,null
2023-09-16T02:32:05Z,23.89,61.77,99,0,31.46,100.61,12.00,485.00,null,null,null
2023-09-16T02:33:05Z,23.88,61.78,99,0,25.59,100.61,12.00,485.00,null,null,null
2023-09-16T02:34:05Z,23.89,61.74,99,0,22.31,100.61,12.00,485.00,null,null,null
2023-09-16T02:35:05Z,23.89,61.83,99,0,23.94,100.61,13.00,488.00,7,10,10
2023-09-16T02:36:05Z,23.90,61.80,99,0,23.20,100.61,12.00,485.00,null,null,null
2023-09-16T02:37:05Z,23.90,61.78,99,0,25.32,100.61,12.00,485.00,null,null,null
2023-09-16T02:38:05Z,23.90,61.79,99,0,25.41,100.61,12.00,485.00,null,null,null
2023-09-16T02:39:05Z,23.88,61.83,99,0,22.05,100.61,12.00,485.00,null,null,null
2023-09-16T02:40:05Z,23.88,61.83,99,0,24.07,100.61,12.00,480.00,11,11,11
2023-09-16T02:41:05Z,23.90,61.81,99,0,24.46,100.61,12.00,485.00,null,null,null
2023-09-16T02:42:05Z,23.88,61.80,99,0,27.22,100.60,12.00,480.00,null,null,null
2023-09-16T02:43:05Z,23.86,61.79,99,0,23.72,100.60,12.00,485.00,null,null,null
